index,participants,hypernym,hyponym,word,words_excluded,id,full_list,clean_list,label,word_spec_map
1216,1D_1,"animale, specie, essere vivente",pony,cavallo,specie,1216_1D_1,['animale' 'specie' 'essere vivente' 'cavallo' 'pony'],['animale' 'essere vivente' 'cavallo' 'pony'],['B-' 'O' 'B-' 'B-' 'B-'],
367,5D_13,,taxi,autista,,367_5D_13,[' autista' 'taxi'],[' autista' 'taxi'],['B-' 'B-'],
131,1G_10,"oggetto, entità","lego, lego city",giocattolo,,131_1G_10,['oggetto' 'entità' 'giocattolo' 'lego' 'lego city'],['oggetto' 'entità' 'giocattolo' 'lego' 'lego city'],['B-' 'B-' 'B-' 'B-' 'B-'],
2478,5B_12,"emozione, sentimento, modo di sentimento",odio,rabbia,"sentimento, modo di sentimento, odio",2478_5B_12,['emozione' 'sentimento' 'modo di sentimento' 'rabbia' 'odio'],['emozione' 'rabbia'],['B-' 'O' 'O' 'B-' 'O'],
2147,2F_21,"emozione, sentimento",felicità,gioia,"sentimento, felicità",2147_2F_21,['emozione' 'sentimento' 'gioia' 'felicità'],['emozione' 'gioia'],['B-' 'O' 'B-' 'O'],
1428,2F_1,,lavoro,insegnante,lavoro,1428_2F_1,[' insegnante' 'lavoro'],[' insegnante'],['B-' 'O'],
1724,5D_13,"mammifero, animale, essere vivente",selvatico,cavallo,,1724_5D_13,['mammifero' 'animale' 'essere vivente' 'cavallo' 'selvatico'],['mammifero' 'animale' 'essere vivente' 'cavallo' 'selvatico'],['B-' 'B-' 'B-' 'B-' 'B-'],
2278,3C_15,"mammifero, animale, essere vivente","cavallo bianco, cavallo bianco tedesco",cavallo,,2278_3C_15,"['mammifero' 'animale' 'essere vivente' 'cavallo' 'cavallo bianco'
 'cavallo bianco tedesco']","['mammifero' 'animale' 'essere vivente' 'cavallo' 'cavallo bianco'
 'cavallo bianco tedesco']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
1783,1G_3,"curatore, analizzatore","peste, malattie da curare, felicità",medico,"curatore, analizzatore, peste, malattie da curare, felicità",1783_1G_3,"['curatore' 'analizzatore' 'medico' 'peste' 'malattie da curare'
 'felicità']",['medico'],['O' 'O' 'B-' 'O' 'O' 'O'],
1970,1G_18,intelletto,"riflessioni, pensiero",mente,"intelletto, riflessioni, pensiero",1970_1G_18,['intelletto' 'mente' 'riflessioni' 'pensiero'],['mente'],['O' 'B-' 'O' 'O'],
2130,5D_8,corpo,"mente geniale, mente stupida, mente ignorante",mente,"corpo, mente stupida, mente ignorante",2130_5D_8,['corpo' 'mente' 'mente geniale' 'mente stupida' 'mente ignorante'],['mente' 'mente geniale'],['O' 'B-' 'B-' 'O' 'O'],
354,5B_20,"mestiere, diritto",,autista,,354_5B_20,['mestiere' 'diritto' 'autista'],['mestiere' 'diritto' 'autista'],['B-' 'B-' 'B-'],
1270,3B_19,"emozione, sentimento ","amore, calore",gioia,"sentimento, amore, calore",1270_3B_19,['emozione' 'sentimento ' 'gioia' 'amore' 'calore'],['emozione' 'sentimento ' 'gioia'],['B-' 'B-' 'B-' 'O' 'O'],
2519,5D_9,emozione,,rabbia,,2519_5D_9,['emozione' 'rabbia'],['emozione' 'rabbia'],['B-' 'B-'],
2271,3C_15,"immaginazione, realtà non reale",fantastico,sogno,realtà non reale,2271_3C_15,['immaginazione' 'realtà non reale' 'sogno' 'fantastico'],['immaginazione' 'sogno' 'fantastico'],['B-' 'O' 'B-' 'B-'],
2355,3C_20,"persona, mammifero, essere vivente","di un camion, della spazzatura, della plastica",autista,,2355_3C_20,"['persona' 'mammifero' 'essere vivente' 'autista' 'autista di un camion'
 'autista della spazzatura' 'autista della plastica']","['persona' 'mammifero' 'essere vivente' 'autista' 'autista di un camion'
 'autista della spazzatura' 'autista della plastica']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],di un camion|||autista di un camion___della spazzatura|||autista della spazzatura___della plastica|||autista della plastica___
2135,1D_12,"sentimento, emozione, incubi","films horror, sangue, serpente",paura,"emozione, incubi, films horror, serpente",2135_1D_12,"['sentimento' 'emozione' 'incubi' 'paura' 'films horror' 'sangue'
 'serpente']",['sentimento' 'paura' 'sangue'],['B-' 'O' 'O' 'B-' 'O' 'B-' 'O'],
876,2E_17,"lavoro, movimentato","taxista, taxista di uber",autista,movimentato,876_2E_17,['lavoro' 'movimentato' 'autista' 'taxista' 'taxista di uber'],['lavoro' 'autista' 'taxista' 'taxista di uber'],['B-' 'O' 'B-' 'B-' 'B-'],
1035,2E_5,"gioco, passatempo",trenino,giocattolo,passatempo,1035_2E_5,['gioco' 'passatempo' 'giocattolo' 'trenino'],['gioco' 'giocattolo' 'trenino'],['B-' 'O' 'B-' 'B-'],
2339,1D_21,"emozione, tristezza",odio,rabbia,"tristezza, odio",2339_1D_21,['emozione' 'tristezza' 'rabbia' 'odio'],['emozione' 'rabbia'],['B-' 'O' 'B-' 'O'],
2160,1G_14,"emozione, sensazione","fantasmi, invisibili",paura,invisibili,2160_1G_14,['emozione' 'sensazione' 'paura' 'fantasmi' 'invisibili'],['emozione' 'sensazione' 'paura' 'fantasmi'],['B-' 'B-' 'B-' 'B-' 'O'],
1729,5D_18,,,libertà,,1729_5D_18,[' libertà'],[' libertà'],['B-'],
1073,3B_16,"utensile, oggetto","peluche, orsetto",giocattolo,utensile,1073_3B_16,['utensile' 'oggetto' 'giocattolo' 'peluche' 'orsetto'],['oggetto' 'giocattolo' 'peluche' 'orsetto'],['O' 'B-' 'B-' 'B-' 'B-'],
281,1G_23,"lavoro, mestiere, attività, passatempo",dentista,medico,"mestiere, passatempo",281_1G_23,['lavoro' 'mestiere' 'attività' 'passatempo' 'medico' 'dentista'],['lavoro' 'attività' 'medico' 'dentista'],['B-' 'O' 'B-' 'O' 'B-' 'B-'],
2060,3B_8,"cervello, organo",subconscio,mente,"cervello, organo",2060_3B_8,['cervello' 'organo' 'mente' 'subconscio'],['mente' 'subconscio'],['O' 'O' 'B-' 'B-'],
766,5D_24,"mestiere, persona, essere umano",,badante,"persona, essere umano",766_5D_24,['mestiere' 'persona' 'essere umano' 'badante'],['mestiere' 'badante'],['B-' 'O' 'O' 'B-'],
2311,3C_17,"emozione, sentimento, emozion",paura per gli esami,paura,"sentimento, emozion, paura per gli esami",2311_3C_17,['emozione' 'sentimento' 'emozion' 'paura' 'paura per gli esami'],['emozione' 'paura'],['B-' 'O' 'O' 'B-' 'O'],
1014,3C_1,"equino, quadrupede, animale, essere vivente","cavallo a macchie, ruben",cavallo,,1014_3C_1,"['equino' 'quadrupede' 'animale' 'essere vivente' 'cavallo'
 'cavallo a macchie' 'ruben']","['equino' 'quadrupede' 'animale' 'essere vivente' 'cavallo'
 'cavallo a macchie' 'ruben']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
440,5B_10,"emozione, concetto astratto, entità",talassofobia,paura,,440_5B_10,['emozione' 'concetto astratto' 'entità' 'paura' 'talassofobia'],['emozione' 'concetto astratto' 'entità' 'paura' 'talassofobia'],['B-' 'B-' 'B-' 'B-' 'B-'],
878,2E_17,"mezzo di trasporto, entità","lamborghini, lamborghini huracan",automobile,,878_2E_17,"['mezzo di trasporto' 'entità' 'automobile' 'lamborghini'
 'lamborghini huracan']","['mezzo di trasporto' 'entità' 'automobile' 'lamborghini'
 'lamborghini huracan']",['B-' 'B-' 'B-' 'B-' 'B-'],
2640,3B_6,"speranza, futuro",paurosi,sogno,"speranza, futuro",2640_3B_6,['speranza' 'futuro' 'sogno' 'paurosi'],['sogno' 'paurosi'],['O' 'O' 'B-' 'B-'],
30,1G_16,sentimento,amore,affetto,,30_1G_16,['sentimento' 'affetto' 'amore'],['sentimento' 'affetto' 'amore'],['B-' 'B-' 'B-'],
88,2F_24,sentimento,"baci, fidanzati, abbracci",affetto,"baci, fidanzati, abbracci",88_2F_24,['sentimento' 'affetto' 'baci' 'fidanzati' 'abbracci'],['sentimento' 'affetto'],['B-' 'B-' 'O' 'O' 'O'],
908,3C_19,"mammifero, animale, essere vivente",unicorno,cavallo,unicorno,908_3C_19,['mammifero' 'animale' 'essere vivente' 'cavallo' 'unicorno'],['mammifero' 'animale' 'essere vivente' 'cavallo'],['B-' 'B-' 'B-' 'B-' 'O'],
1554,1D_22,"persona, bipede, onnivoro, animale, essere vivente, entità",,badante,onnivoro,1554_1D_22,"['persona' 'bipede' 'onnivoro' 'animale' 'essere vivente' 'entità'
 'badante']",['persona' 'bipede' 'animale' 'essere vivente' 'entità' 'badante'],['B-' 'B-' 'O' 'B-' 'B-' 'B-' 'B-'],
411,1G_10,"veicolo, mezzo di trasporto, oggetto","auto da corsa, lamborghini, auto nera",automobile,auto nera,411_1G_10,"['veicolo' 'mezzo di trasporto' 'oggetto' 'automobile' 'auto da corsa'
 'lamborghini' 'auto nera']","['veicolo' 'mezzo di trasporto' 'oggetto' 'automobile' 'auto da corsa'
 'lamborghini']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'O'],
2426,3B_11,"emozione, sentimento",,rabbia,sentimento,2426_3B_11,['emozione' 'sentimento' 'rabbia'],['emozione' 'rabbia'],['B-' 'O' 'B-'],
1595,5D_2,entità,libertà eterna,libertà,,1595_5D_2,['entità' 'libertà' 'libertà eterna'],['entità' 'libertà' 'libertà eterna'],['B-' 'B-' 'B-'],
775,1D_10,"equino, mammifero, animale, essere vivente",purosangue,cavallo,,775_1D_10,['equino' 'mammifero' 'animale' 'essere vivente' 'cavallo' 'purosangue'],['equino' 'mammifero' 'animale' 'essere vivente' 'cavallo' 'purosangue'],['B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
2973,2E_4,"dolce, ingredienti, cibo","buona, al cioccolato",torta,"ingredienti, buona",2973_2E_4,['dolce' 'ingredienti' 'cibo' 'torta' 'buona' 'al cioccolato'],['dolce' 'cibo' 'torta' 'al cioccolato'],['B-' 'O' 'B-' 'B-' 'O' 'B-'],
1771,1G_13,persona,lavoro,medico,lavoro,1771_1G_13,['persona' 'medico' 'lavoro'],['persona' 'medico'],['B-' 'B-' 'O'],
81,1G_7,"persona, essere umano ",babysitter ,badante,babysitter,81_1G_7,['persona' 'essere umano ' 'badante' 'babysitter'],['persona' 'essere umano ' 'badante'],['B-' 'B-' 'B-' 'O'],
3033,3C_11,"dolce, cibo",tenerina,torta,,3033_3C_11,['dolce' 'cibo' 'torta' 'tenerina'],['dolce' 'cibo' 'torta' 'tenerina'],['B-' 'B-' 'B-' 'B-'],
1186,1G_10,"felicità, emozione, stato d'animo","vittoria, nome, giovanni",gioia,"felicità, stato d'animo, vittoria, nome, giovanni",1186_1G_10,"['felicità' 'emozione' ""stato d'animo"" 'gioia' 'vittoria' 'nome'
 'giovanni']",['emozione' 'gioia'],['O' 'B-' 'O' 'B-' 'O' 'O' 'O'],
2272,3C_15,"professione, occupazione, mestiere",taxista,autista,mestiere,2272_3C_15,['professione' 'occupazione' 'mestiere' 'autista' 'taxista'],['professione' 'occupazione' 'autista' 'taxista'],['B-' 'B-' 'O' 'B-' 'B-'],
2141,2F_20,emozione,giocare,libertà,"emozione, giocare",2141_2F_20,['emozione' 'libertà' 'giocare'],['libertà'],['O' 'B-' 'O'],
1045,2F_14,"passatempo, oggetto","bambola, barbie",giocattolo,passatempo,1045_2F_14,['passatempo' 'oggetto' 'giocattolo' 'bambola' 'barbie'],['oggetto' 'giocattolo' 'bambola' 'barbie'],['O' 'B-' 'B-' 'B-' 'B-'],
748,2E_9,"cosa astratta, entità",di parola,libertà,,748_2E_9,['cosa astratta' 'entità' 'libertà' 'libertà di parola'],['cosa astratta' 'entità' 'libertà' 'libertà di parola'],['B-' 'B-' 'B-' 'B-'],di parola|||libertà di parola___
2964,2E_2,"zucchero a velo, lievito, forno, dolce, cibo",cioccolato,torta,"zucchero a velo, lievito, forno",2964_2E_2,['zucchero a velo' 'lievito' 'forno' 'dolce' 'cibo' 'torta' 'cioccolato'],['dolce' 'cibo' 'torta' 'cioccolato'],['O' 'O' 'O' 'B-' 'B-' 'B-' 'B-'],
681,3B_12,anziani,babysitter,badante,"anziani, babysitter",681_3B_12,['anziani' 'badante' 'babysitter'],['badante'],['O' 'B-' 'O'],
1533,1D_20,"persona che insegna, essere umano",gardenghi,insegnante,persona che insegna,1533_1D_20,['persona che insegna' 'essere umano' 'insegnante' 'gardenghi'],['essere umano' 'insegnante' 'gardenghi'],['O' 'B-' 'B-' 'B-'],
2119,5D_2,"testa, cervello",pensiero,mente,"testa, cervello, pensiero",2119_5D_2,['testa' 'cervello' 'mente' 'pensiero'],['mente'],['O' 'O' 'B-' 'O'],
2223,2F_3,"ansia, pensiero, emozione","horror, online, multyplayer",paura,"ansia, pensiero, horror, online, multyplayer",2223_2F_3,['ansia' 'pensiero' 'emozione' 'paura' 'horror' 'online' 'multyplayer'],['emozione' 'paura'],['O' 'O' 'B-' 'B-' 'O' 'O' 'O'],
1889,3C_6,"lavoro, mestiere","chirurgo, psicologo, dottore",medico,"mestiere, psicologo, dottore",1889_3C_6,['lavoro' 'mestiere' 'medico' 'chirurgo' 'psicologo' 'dottore'],['lavoro' 'medico' 'chirurgo'],['B-' 'O' 'B-' 'B-' 'O' 'O'],
723,2E_8,cervello,pensare,mente,"cervello, pensare",723_2E_8,['cervello' 'mente' 'pensare'],['mente'],['O' 'B-' 'O'],
1149,5D_2,"legno, plastica","cicciobello, barbie",giocattolo,"legno, plastica, barbie",1149_5D_2,['legno' 'plastica' 'giocattolo' 'cicciobello' 'barbie'],['giocattolo' 'cicciobello'],['O' 'O' 'B-' 'B-' 'O'],
2247,3B_25,"sentimento, emozione ",terrore,paura,emozione,2247_3B_25,['sentimento' 'emozione ' 'paura' 'terrore'],['sentimento' 'emozione ' 'paura' 'terrore'],['B-' 'B-' 'B-' 'B-'],
338,5B_4,"emozione, pensiero, cosa, entità",sogno che forse si avvererà,libertà,"emozione, pensiero, cosa, sogno che forse si avvererà",338_5B_4,"['emozione' 'pensiero' 'cosa' 'entità' 'libertà'
 'sogno che forse si avvererà']",['entità' 'libertà'],['O' 'O' 'O' 'B-' 'B-' 'O'],
1513,5B_17,lavoro,"silvia, margherita, oriana",insegnante,"margherita, oriana",1513_5B_17,['lavoro' 'insegnante' 'silvia' 'margherita' 'oriana'],['lavoro' 'insegnante' 'silvia'],['B-' 'B-' 'B-' 'O' 'O'],
636,2E_2,"attività, lavoro, persona, essere vivente, entità",degli anziani,badante,"lavoro, persona, essere vivente",636_2E_2,"['attività' 'lavoro' 'persona' 'essere vivente' 'entità' 'badante'
 'badante degli anziani']",['attività' 'entità' 'badante' 'badante degli anziani'],['B-' 'O' 'O' 'O' 'B-' 'B-' 'B-'],degli anziani|||badante degli anziani___
237,1G_8,"lavoro, professione",di taxi,autista,professione,237_1G_8,['lavoro' 'professione' 'autista' 'autista di taxi'],['lavoro' 'autista' 'autista di taxi'],['B-' 'O' 'B-' 'B-'],di taxi|||autista di taxi___
1761,1D_4,persona,"vivente, umano, aiuta",medico,"vivente, umano, aiuta",1761_1D_4,['persona' 'medico' 'vivente' 'umano' 'aiuta'],['persona' 'medico'],['B-' 'B-' 'O' 'O' 'O'],
981,2E_24,emozione,"verso qualcuno, verso un nemico",rabbia,,981_2E_24,['emozione' 'rabbia' 'verso qualcuno' 'verso un nemico'],['emozione' 'rabbia' 'verso qualcuno' 'verso un nemico'],['B-' 'B-' 'B-' 'B-'],
2099,5B_20,"organo, insieme di tessuti",cervelletto,mente,"organo, insieme di tessuti, cervelletto",2099_5B_20,['organo' 'insieme di tessuti' 'mente' 'cervelletto'],['mente'],['O' 'O' 'B-' 'O'],
682,3B_13,anziano,babysitter,badante,"anziano, babysitter",682_3B_13,['anziano' 'badante' 'babysitter'],['badante'],['O' 'B-' 'O'],
1703,5B_13,,"giocare, indovinachi, personaggi",libertà,"giocare, indovinachi, personaggi",1703_5B_13,[' libertà' 'giocare' 'indovinachi' 'personaggi'],[' libertà'],['B-' 'O' 'O' 'O'],
2286,3C_16,"animale, essere vivente",pony,cavallo,,2286_3C_16,['animale' 'essere vivente' 'cavallo' 'pony'],['animale' 'essere vivente' 'cavallo' 'pony'],['B-' 'B-' 'B-' 'B-'],
2621,3B_12,immaginazione,,sogno,,2621_3B_12,['immaginazione' 'sogno'],['immaginazione' 'sogno'],['B-' 'B-'],
872,2E_17,immaginazione astratta,"di un supereroe, di superman",sogno,,872_2E_17,"['immaginazione astratta' 'sogno' 'sogno di un supereroe'
 'sogno di superman']","['immaginazione astratta' 'sogno' 'sogno di un supereroe'
 'sogno di superman']",['B-' 'B-' 'B-' 'B-'],di un supereroe|||sogno di un supereroe___di superman|||sogno di superman___
287,1G_23,"lavoro, mestiere",,badante,mestiere ,287_1G_23,['lavoro' 'mestiere' 'badante'],['lavoro' 'mestiere' 'badante'],['B-' 'B-' 'B-'],
655,2F_12,"signora, donna, umana, mammifero",,badante,mammifero,655_2F_12,['signora' 'donna' 'umana' 'mammifero' 'badante'],['signora' 'donna' 'umana' 'badante'],['B-' 'B-' 'B-' 'O' 'B-'],
1733,5D_14,cosa astratta,,libertà,,1733_5D_14,['cosa astratta' 'libertà'],['cosa astratta' 'libertà'],['B-' 'B-'],
765,2E_10,"cronometro, timer","ore, giorni, mesi",tempo,"cronometro, timer, giorni, mesi",765_2E_10,['cronometro' 'timer' 'tempo' 'ore' 'giorni' 'mesi'],['tempo' 'ore'],['O' 'O' 'B-' 'B-' 'O' 'O'],
934,5B_2,,,cavallo,,934_5B_2,[' cavallo'],[' cavallo'],['B-'],
1890,3C_7,"mestiere, cura, ospedale",chirurgo,medico,"cura, ospedale",1890_3C_7,['mestiere' 'cura' 'ospedale' 'medico' 'chirurgo'],['mestiere' 'medico' 'chirurgo'],['B-' 'O' 'O' 'B-' 'B-'],
2579,2E_21,"non reale, strano, notte, mente, sentimento","desiderio, fantasia",sogno,"non reale, strano, notte, sentimento, desiderio, fantasia",2579_2E_21,"['non reale' 'strano' 'notte' 'mente' 'sentimento' 'sogno' 'desiderio'
 'fantasia']",['mente' 'sogno'],['O' 'O' 'O' 'B-' 'O' 'B-' 'O' 'O'],
816,2E_14,"sentimento, stato d'animo, reazione","fobia, talassofobia",paura,"stato d'animo, reazione",816_2E_14,"['sentimento' ""stato d'animo"" 'reazione' 'paura' 'fobia' 'talassofobia']",['sentimento' 'paura' 'fobia' 'talassofobia'],['B-' 'O' 'O' 'B-' 'B-' 'B-'],
2229,2F_9,pensiero,buio,paura,pensiero,2229_2F_9,['pensiero' 'paura' 'buio'],['paura' 'buio'],['O' 'B-' 'B-'],
500,3B_23,moto,,automobile,moto,500_3B_23,['moto' 'automobile'],['automobile'],['O' 'B-'],
2138,2F_20,emozione,felice,gioia,felice,2138_2F_20,['emozione' 'gioia' 'felice'],['emozione' 'gioia'],['B-' 'B-' 'O'],
1983,1G_9,,cervello,mente,cervello,1983_1G_9,[' mente' 'cervello'],[' mente'],['B-' 'O'],
13,1D_21,"emozione, sentimento",amore,affetto,sentimento,13_1D_21,['emozione' 'sentimento' 'affetto' 'amore'],['emozione' 'affetto' 'amore'],['B-' 'O' 'B-' 'B-'],
2684,5B_4,,incubo,sogno,,2684_5B_4,[' sogno' 'incubo'],[' sogno' 'incubo'],['B-' 'B-'],
337,3C_5,"lavoro, guadagno",mezzi di trasporto,autista,"guadagno, mezzi di trasporto",337_3C_5,['lavoro' 'guadagno' 'autista' 'mezzi di trasporto'],['lavoro' 'autista'],['B-' 'O' 'B-' 'O'],
202,1G_18,"mestiere, lavoro, pratica, entità","taxista, dell'uber",autista,,202_1G_18,"['mestiere' 'lavoro' 'pratica' 'entità' 'autista' 'taxista' ""dell'uber""]","['mestiere' 'lavoro' 'pratica' 'entità' 'autista' 'taxista' ""dell'uber""]",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
2742,1G_14,unità di misura,,tempo,,2742_1G_14,['unità di misura' 'tempo'],['unità di misura' 'tempo'],['B-' 'B-'],
232,1G_20,"lavoro, schiavismo pagato, azione che ti obbligano a fare sotto la tua volontà, entità","badante antipatica di mia nonna, carmen",badante,"schiavismo pagato, azione che ti obbligano a fare sotto la tua volontà",232_1G_20,"['lavoro' 'schiavismo pagato'
 'azione che ti obbligano a fare sotto la tua volontà' 'entità' 'badante'
 'badante antipatica di mia nonna' 'carmen']",['lavoro' 'entità' 'badante' 'badante antipatica di mia nonna' 'carmen'],['B-' 'O' 'O' 'B-' 'B-' 'B-' 'B-'],
101,1G_8,"lavoro sanitario, lavoro, mestiere, entità",medico di base,medico,mestiere,101_1G_8,['lavoro sanitario' 'lavoro' 'mestiere' 'entità' 'medico' 'medico di base'],['lavoro sanitario' 'lavoro' 'entità' 'medico' 'medico di base'],['B-' 'B-' 'O' 'B-' 'B-' 'B-'],
